"Désignation";"Unité";"Quantité";"ids"
"Fourniture et pose de câble optique de 6FO en aérien";"ml";"4084.70";"495,421,418,419,416,420,417,415,77,68,92,79,82,63,76,86,81,91,84,70,66,72,83,75,69,89,93,87,61,65,94,88,506,78,73,85,64,62,74,90,60,67,80,71,129,104,97,127,114,118,109,102,106,98,96,103,99,122,112,121,119,128,266,95,497,509,503,511,501,510,502,515,492,316,315,312,311,322,319,321,309,308,313,314,307,310,324,323,320,317,318,117,101,113,120,124,108,115,123,110,126,100,111,116,125,105,107,496,507,508,494,498,513,493,512,499,504,514,500,505"
"Fourniture et pose de câble optique de 12 FO en aérien";"ml";"2079.20";"145,140,147,143,132,134,139,146,137,148,401,399,400,395,397,393,396,391,394,392,390,398,142,136,144,133,130,141,138,135,404,403,407,265,264,405,406,402,687,686,680,694,679,681,682,690,692,691,684,683,688,689,685,693,678,677,131"
"Fourniture et pose de câble optique de 24FO en aérien";"ml";"6657.96";"452,14,13,15,18,19,7,2,4,5,10,6,8,11,12,20,16,9,17,1,27,25,26,24,22,23,21,28,29,33,34,32,43,35,37,46,30,44,49,41,38,45,40,36,31,42,47,39,51,50,48,54,53,55,52,59,58,57,56,230,211,226,227,223,216,239,233,217,225,212,243,215,241,236,234,214,222,229,224,235,221,213,220,242,237,232,218,219,240,228,238,231,210,255,257,244,251,262,261,256,259,250,248,254,252,258,249,253,260,247,245,263,246,380,379,383,381,373,384,367,365,376,364,369,387,368,377,388,385,378,371,366,382,372,389,370,386,375,374,482,451,470,465,469,456,491,449,490,485,462,3,463,486,455,488,471,474,473,483,464,484,450,468,466,487,467,457,460,480,459,478,454,481,453,458,489,476,461,475,472,477,479"
"Fourniture et pose de câble optique de 36 FO en aérien";"ml";"3789.44";"424,305,275,300,284,292,278,299,198,202,194,174,188,191,176,200,170,158,183,422,423,432,430,426,429,428,431,427,425,433,435,434,437,440,447,436,444,448,441,446,442,438,443,445,439,171,206,165,159,156,151,162,166,152,167,195,157,172,209,197,153,177,193,178,204,208,169,168,155,207,175,190,150,182,192,173,186,201,160,205,149,196,187,154,179,164,184,180,161,199,181,306,289,301,279,293,296,276,272,283,268,274,273,282,302,286,304,271,294,267,290,281,295,270,277,291,203,189,163,185,269,285,288,280,287,297,303,298"
"Fourniture et pose de câble optique de 48 FO en aérien";"ml";"2472.01";"709,633,622,626,620,628,631,619,357,359,338,355,354,337,333,335,349,325,329,348,353,705,712,697,714,715,716,699,341,330,336,352,718,703,700,708,713,701,706,720,719,717,710,707,722,331,342,350,358,362,360,328,332,345,347,351,346,340,327,361,343,344,326,356,339,334,618,623,624,629,630,627,632,625,621"
"Fourniture et pose de câble optique de 72 FO en aérien";"ml";"1738.04";"663,650,664,658,655,667,665,652,653,654,662,660,661,659,412,413,636,656,648,641,649,647,646,666,640,642,634,645,644,657,651,635,638,637,643,639,408,409,410,411"
"Fourniture et pose de câble optique de 96 FO en aérien";"ml";"0";NULL
"Fourniture et pose de câble optique de 144 FO en aérien";"ml";"0";NULL
"Câble sout";NULL;NULL;NULL
"Fourniture et pose de câble de 6 FO en conduite";"ml";"0";NULL
